report_id	journal_id	authors	year	title	volume	pages	pubmed	notes	user_id
25	9	Sunitha K, Chung BH, Jang KH, Song KB, Kim CH, Rhee SK	2000	Refolding and purification of Zymomonas mobilis levansucrase produced as inclusion bodies in fed-batch culture of recombinant Escherichia coli.\n	18	388-393	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10733894&dopt=Abstract		2
26	9	 Pathak N, Hu SI, Koehn JA	1998	The expression, refolding, and purification of the catalytic domain of human collagenase-3 (MMP-13).	14	283-288	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9790892&dopt=Abstract		2
27	9	Boismenu R, Semeniuk D, Murgita RA.	1997	Purification and characterization of human and mouse recombinant alpha-fetoproteins expressed in Escherichia coli.Purification and characterization of human and mouse recombinant alpha-fetoproteins expressed in Escherichia coli.	10	10-26	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9179285&dopt=Abstract		2
28	2	Lambalot RH, Cane DE, Aparicio JJ, Katz L	1995	Overproduction and characterization of the erythromycin C-12 hydroxylase, EryK.	34	1858-1866	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=7849045&dopt=Abstract		2
29	9	Lopez-Vara MC, Gasset M, Pajares MA	2000	Refolding and characterization of rat liver methionine adenosyltransferase from Escherichia coli inclusion bodies.\n	19	219-226	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10873534&dopt=Abstract		2
30	14	Kumar TK, Yang PW, Lin SH, Wu CY, Lei B, Lo SJ, Tu SC, Yu C	1996	Cloning, direct expression, and purification of a snake venom cardiotoxin in Escherichia coli.\n	219	450-456	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8605008&dopt=Abstract		2
31	9	Hak-Joo Lee, Hana Im	2003	Purification of recombinant plasminogen inhibitor-1 in the active conformation by refolding from inclusion bodies	31	99-107	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12963346&dopt=Abstract		2
32	9	Richter W, Hermsdorf T, Kronbach T, Dettmer D	2002	Refolding and purification of recombinant human PDE7A expressed in Escherichia coli as inclusion bodies.	25	138-148	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12071709&dopt=Abstract		2
33	10	Belorgey D, Crowther DC, Mahadeva R, Lomas DA.	2002	Mutant Neuroserpin (S49P) that causes familial encephalopathy with neuroserpin inclusion bodies is a poor proteinase inhibitor and readily forms polymers in vitro.	277	17367-1737	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11880376&dopt=Abstract		2
34	9	Hwang HS, Chung HS.	2002	Preparation of active recombinant cathepsin K expressed in bacteria as inclusion body.	25	541-546	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12182837&dopt=Abstract		2
35	9	He HJ, Yuan QS, Yang GZ, Wu XF.	2002	High-level expression of human extracellular superoxide dismutase in Escherichia coli and insect cells.	24	13-17	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11812217&dopt=Abstract		2
36	11	Fahey EM, Chaudhuri JB, Binding P.	2000	Refolding and purification of a urokinase plasminogen activator fragment by chromatography.	737	225-235	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10681059&dopt=Abstract		2
37	9	Patra AK, Mukhopadhyay R, Mukhija R, Krishnan A, Garg LC, Panda AK.	2000	Optimization of inclusion body solubilization and renaturation of recombinant human growth hormone from Escherichia coli.	18	182-192	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10686149&dopt=Abstract		2
38	6	Im H, Yu MH	2000	Role of Lys335 in the metastability and function of inhibitory serpins	9	934-941	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10850803&dopt=Abstract		2
39	10	Kwon KS, Kim J, Shin HS, Yu MH	1994	\nSingle amino acid substitutions of alpha 1-antitrypsin that confer enhancement in thermal stability	269	9627-9631	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8144550&dopt=Abstract		2
40	12	Gauthier M, Patston PA.	1997	\nReactivation of C1-inhibitor polymers by denaturation and gel-filtration chromatography	248	228-233	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9177748&dopt=Abstract		2
41	9	Glynou K, Ioannou PC, Christopoulos TK	2003	One-step purification and refolding of recombinant photoprotein aequorin by immobilized metal-ion affinity chromatography	27	384-390	http://www.ncbi.nlm.nih.gov:80/entrez/queryfcgi?cmd=Retrieve&db=PubMed&list_uids=12597900&dopt=Abstract		2
42	13	Bell S, Hansen S, Buchner J	2002	\nRefolding and structural characterization of the human p53 tumor suppressor protein	96	243-257	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12034444&dopt=Abstract		2
43	9	Eisenmesser EZ, Kapust RB, Nawrocki JP, Mazzulla MJ, Pannell LK, Waugh DS, Byrd RA	2000	Expression, purification, refolding, and characterization of recombinant human interleukin-13: utilization of intracellular processing	20	186-195	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11049743&dopt=Abstract		2
44	9	Panagabko C, Morley S, Neely S, Lei H, Manor D, Atkinson J	2002	Expression and refolding of recombinant human alpha-tocopherol transfer protein capable of specific alpha-tocopherol binding	24	395-403	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11922755&dopt=Abstract		2
45	14	Hung CC, Chiou SH	2000	Expression of a kallikrein-like protease from the snake venom: engineering of autocatalytic site in the fusion protein to facilitate protein refolding	275	924-930	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10973823&dopt=Abstract		2
46	15	Koshiba T, Hayashi T, Miwako I, Kumagai I, Ikura T, Kawano K, Nitta K, Kuwajima K	1999	Expression of a synthetic gene encoding canine milk lysozyme in Escherichia coli and characterization of the expressed protein	12	429-435	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10360984&dopt=Abstract		2
47	9	Schauer S, Luer C, Moser J	2003	Large scale production of biologically active Escherichia coli glutamyl-tRNA reductase from inclusion bodies	31	271-275	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=14550647&dopt=Abstract		2
48	9	Parkar AA, Stow MD, Smith K, Panicker AK, Guilloteau JP, Jupp R, Crowe SJ	2000	Large-scale expression, refolding, and purification of the catalytic domain of human macrophage metalloelastase (MMP-12) in Escherichia coli	20	152-161	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11049739&dopt=Abstract		2
49	9	Menzella HG, Gramajo HC, Ceccarelli EA	2002	High recovery of prochymosin from inclusion bodies using controlled air oxidation.	25	248-255	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12135557&dopt=Abstract		2
50	9	Margetts MB, Barr IG, Webb EA	2000	Overexpression, purification, and refolding of a Porphyromonas gingivalis cysteine protease from Escherichia coli.	18	262-268	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10733878&dopt=Abstract		2
51	9	Ward RJ, de Oliveira AH, Bortoleto RK, Rosa JC, Faca VM, Greene LJ	2001	Refolding and purification of Bothropstoxin-I, a Lys49-phospholipase A2 homologue, expressed as inclusion bodies in Escherichia coli	21	134-140	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11162398&dopt=Abstract		2
52	10	Wilharm E, Parry MA, Friebel R, Tschesche H, Matschiner G, Sommerhoff CP, Jenne DE	1999	Generation of catalytically active granzyme K from Escherichia coli inclusion bodies and identification of efficient granzyme K inhibitors in human plasma.	274	27331-27337	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10480954&dopt=Abstract		2
53	16	Lee JY, Yoon CS, Chung IY, Lee YS, Lee EK	2000	Scale-up process for expression and renaturation of recombinant human epidermal growth factor from Escherichia coli inclusion bodies.	31	245-248	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10814596&dopt=Abstract		2
54	10	Chen Z, Koelsch G, Han HP, Wang XJ, Lin XL, Hartsuck JA, Tang J	1991	Recombinant rhizopuspepsinogen. Expression, purification, and activation properties of recombinant rhizopuspepsinogens.	266	11718-11725	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=2050673&dopt=Abstract		2
55	8	Werner MH, Clore GM, Gronenborn AM, Kondoh A, Fisher RJ	1994	\nRefolding proteins by gel filtration chromatography.	345	125-130	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8200443&dopt=Abstract		2
56	8	Chen Z, Wu I, Richter ML, Gegenheimer P.	1992	Over-expression and refolding of beta-subunit from the chloroplast ATP synthase.	298	69-73	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1531962&dopt=Abstract		2
57	2	Tsuji T, Nakagawa R, Sugimoto N, Fukuhara K.	1987	Characterization of disulfide bonds in recombinant proteins: reduced human interleukin 2 in inclusion bodies and its oxidative refolding.	26	3129-3134	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=3038177&dopt=Abstract		2
59	9	Sijwali PS, Brinen LS, Rosenthal PJ.	2001	Systematic optimization of expression and refolding of the Plasmodium falciparum cysteine protease falcipain-2.	22	128-134	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11388810&dopt=Abstract		2
60	16	Inoue M, Akimaru J, Nishikawa T, Seki N, Yamada H.	1998	A new derivatizing agent, trimethylammoniopropyl methanethiosulphonate, is efficient for preparation of recombinant brain-derived neurotrophic factor from inclusion bodies.	28	207-213	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9799718&dopt=Abstract		2
61	11	Lemercier G, Bakalara N, Santarelli X.	2003	On-column refolding of an insoluble histidine tag recombinant exopolyphosphatase from Trypanosoma brucei overexpressed in Escherichia coli.	786	305-309	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12651027&dopt=Abstract		2
62	17	Lu H, Zhang H, Wang Q, Yuan H, He W, Zhao Z, Li Y.	2001	Purification, refolding of hybrid hIFNgamma-kringle 5 expressed in Escherichia coli.	42	211-216	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11270657&dopt=Abstract		2
63	18	Ejima D, Watanabe M, Sato Y, Date M, Yamada N, Takahara Y.	1999	High yield refolding and purification process for recombinant human interleukin-6 expressed in Escherichia coli.	62	301-10	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10099541&dopt=Abstract		2
64	19	Tang L, Morales T, Boroughs KL, Cailles Lo-Keiser K, Sellins K, Stedman K, McCall C, McDermott MJ.	2003	Expression and characterization of recombinant canine IL-13 receptor alpha2 protein and its biological activity in vitro.	39	719-727	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=12531283&dopt=Abstract		2
65	9	\nVarnerin JP, Smith T, Rosenblum CI, Vongs A, Murphy BA, Nunes C, Mellin TN, King JJ, Burgess BW, Junker B, Chou M, Hey P, Frazier E, MacIntyre DE, Van der Ploeg LH, Tota MR	1998	Production of leptin in Escherichia coli: a comparison of methods.	14	335-342	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9882567&dopt=Abstract		2
66	16	Suenaga M, Ohmae H, Tsuji S, Itoh T, Nishimura O.	1998	Renaturation of recombinant human neurotrophin-3 from inclusion bodies using a suppressor agent of aggregation.	28	119-124	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9756741&dopt=Abstract		2
67	10	Levine AD, Rangwala SH, Horn NA, Peel MA, Matthews BK, Leimgruber RM, Manning JA, Bishop BF, Olins PO.	1995	High level expression and refolding of mouse interleukin 4 synthesized in Escherichia coli.	270	7445-7452	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=7706290&dopt=Abstract		2
68	20	Arora D, Khanna N.	1996	Method for increasing the yield of properly folded recombinant human gamma interferon from inclusion bodies.	52	127-133	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9084211&dopt=Abstract		2
69	8	Cowley DJ, Mackin RB.	1997	\nExpression, purification and characterization of recombinant human proinsulin.	402	124-130	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9037180&dopt=Abstract		2
70	9	Li N, Qu LJ, Liu Y, Li Q, Gu H, Chen Z.	1999	The refolding, purification, and activity analysis of a rice Bowman-Birk inhibitor expressed in Escherichia coli.	15	99-104	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10024476&dopt=Abstract		2
71	9	Remmert K, Vullhorst D, Hinssen H.	2000	In vitro refolding of heterodimeric CapZ expressed in E. coli as inclusion body protein.	18	11-19	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10648164&dopt=Abstract		2
72	9	Sachdev D, Chirgwin JM.	1998	Solubility of proteins isolated from inclusion bodies is enhanced by fusion to maltose-binding protein or thioredoxin.	12	122-132	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9473466&dopt=Abstract		2
73	10	Brown WC, Duncan JA, Campbell JL.	1993	Purification and characterization of the Saccharomyces cerevisiae DNA polymerase delta overproduced in Escherichia coli.	268	982-90	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8380419&dopt=Abstract		2
74	9	Lopez-Vara MC, Gasset M, Pajares MA	2000	Refolding and characterization of rat liver methionine adenosyltransferase from Escherichia coli inclusion bodies.Refolding and characterization of rat liver methionine adenosyltransferase from Escherichia coli inclusion bodies.	19	219-226	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10873534&dopt=Abstract		2
75	10	Claassen LA, Ahn B, Koo HS, Grossman L.	1991	Construction of deletion mutants of the Escherichia coli UvrA protein and their purification from inclusion bodies	266	11380-11387	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1645734&dopt=Abstract		2
76	2	Teschke CM, King J	1993	Folding of the phage P22 coat protein in vitro.\n	32	10839-10847	http://www.ncbi.nlm.nih.gov:80/entrez/queryfcgi?cmd=Retrieve&db=PubMed&list_uids=8399234&dopt=Abstract		2
77	22	Meyer JD, Hanagan A, Manning MC, Catalano CE.\nMeyer JD, Hanagan A, Manning MC, Catalano CE.\n	1998	The phage lambda terminase enzyme: 1. Reconstitution of the holoenzyme from the individual subunits enhances the thermal stability of the small subunit.\n	23	27-36	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9644594&dopt=Abstract		2
78	23	Babbitt PC, West BL, Buechter DD, Kuntz ID, Kenyon GL	1990	Removal of a proteolytic activity associated with aggregates formed from expression of creatine kinase in Escherichia coli leads to improved recovery of active enzyme.	8	945-949	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1370005&dopt=Abstract		2
79	24	Lin X, Liu M, Tang J	1992	Heterologous expression of thermopsin, a heat-stable acid proteinase.	14	696-701	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1368892&dopt=Abstract		2
80	7	Proudfoot AE, Goffin L, Payton MA, Wells TN, Bernard AR.	1996	In vivo and in vitro folding of a recombinant metalloenzyme, phosphomannose isomerase.\n	318	437-442	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8809030&dopt=Abstract		2
81	26	Kelley MJ, Crowl RM, Dennis EA	1992	Renaturation of cobra venom phospholipase A2 expressed from a synthetic gene in Escherichia coli.	1118	107-115	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1730025&dopt=Abstract		2
82	27	Wang LF, Hum WT, Kalyan NK, Lee SG, Hung PP, Doi RH	1989	Synthesis and refolding of human tissue-type plasminogen activator in Bacillus subtilis.	84	127-133	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=2514121&dopt=Abstract		2
83	28	Orsini G, Brandazza A, Sarmientos P, Molinari A, Lansen J, Cauet G.	1991	Efficient renaturation and fibrinolytic properties of prourokinase and a deletion mutant expressed in Escherichia coli as inclusion bodies.	195	691-697	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1847867&dopt=Abstract		2
84	9	Seddon AP, Hulmes JD, Decker MM, Kovesdi I, Fairhurst JL, Backer J, Dougher-Vermazen M, Bohlen P.\nSeddon AP, Hulmes JD, Decker MM, Kovesdi I, Fairhurst JL, Backer J, Dougher-Vermazen M, Bohlen P.\n	1994	Refolding and characterization of human recombinant heparin-binding neurite-promoting factor.\n	5	14-21	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8167469&dopt=Abstract		2
85	9	Chang SY, Tsai PC, Tseng CS, Liang PH.\n	2001	Refolding and characterization of a yeast dehydrodolichyl diphosphate synthase overexpressed in Escherichia coli.\n	23	432-439	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11722180&dopt=Abstract		2
86	9	Hartleib J, Ruterjans H.\n	2001	High-yield expression, purification, and characterization of the recombinant diisopropylfluorophosphatase from Loligo vulgaris.\n	21	210-219	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11162408&dopt=Abstract		2
87	9	Delves CJ, Ballantine SP, Tansik RL, Baccanari DP, Stammers DK.\n	1993	Refolding of recombinant Pneumocystis carinii dihydrofolate reductase and characterization of the enzyme.\n	4	16-23	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8425104&dopt=Abstract		2
88	28	Patra AK, Gahlay GK, Reddy BV, Gupta SK, Panda AK.	2000	Refolding, structural transition and spermatozoa-binding of recombinant bonnet monkey (Macaca radiata) zona pellucida glycoprotein-C expressed in Escherichia coli.\n	267	7075-7081	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11106418&dopt=Abstract		2
89	21	Hill AM, Cane DE, Mau CJ, West CA.	1996	High level expression of Ricinus communis casbene synthase in Escherichia coli and characterization of the recombinant enzyme.\n	336	283-289	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8954576&dopt=Abstract		2
90	29	Dolinar M, Maganja DB, Turk V.Dolinar M, Maganja DB, Turk V.	1995	Expression of full-length human procathepsin L cDNA in Escherichia coli and refolding of the expression product.	376	385-388	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=7576233&dopt=Abstract		2
91	29	Thiele U, Auerswald EA, Gebhard W, Assfalg-Machleidt I, Popovic T, Machleidt W.\n	1988	Inhibitorily active recombinant human stefin B. Gene synthesis, expression and isolation of an inhibitory active MS-2 pol-stefin B fusion protein and preparation of Des[Met1,2(2)]stefin B.\n	369	1167-1178	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=2853948&dopt=Abstract		2
92	30	Chen W, Bahl OP.	1993	High expression of the hormone binding active extracellular domain (1-294) of rat lutropin receptor in Escherichia coli.	91	35-41	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=8472852&dopt=Abstract		2
93	27	Cheng YS, McGowan MH, Kettner CA, Schloss JV, Erickson-Viitanen S, Yin FH.	1990	High-level synthesis of recombinant HIV-1 protease and the recovery of active enzyme from inclusion bodies.	87	243-248	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=2158928&dopt=Abstract		2
94	2	Gerhartz B, Ekiel I, Abrahamson M.\n	1998	Two stable unfolding intermediates of the disease-causing L68Q variant of human cystatin C.\n	37	17309-17317	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9860845&dopt=Abstract		2
95	26	Kwon KS, Lee S, Yu MH.\n	1995	Refolding of alpha 1-antitrypsin expressed as inclusion bodies in Escherichia coli: characterization of aggregation.	1247	179-184	http://www.ncbi.nlm.nih.gov:80/entrez/queryfcgi?cmd=Retrieve&db=PubMed&list_uids=7696306&dopt=Abstract		2
96	9	Zouhar J, Nanak E, Brzobohaty B.\n	1999	Expression, single-step purification, and matrix-assisted refolding of a maize cytokinin glucoside-specific beta-glucosidase.\n	17	153-162	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10497081&dopt=Abstract		2
97	10	Betton J, Hofnung M.\n	1996	Folding of a mutant maltose-binding protein of Escherichia coli which forms inclusion bodies.\n	271	8046-8052	http://www.ncbi.nlm.nih.gov:80/entrez/queryfcgi?cmd=Retrieve&db=PubMed&list_uids=8626487&dopt=Abstract		2
98	9	Juri Ayub M, Levin MJ, Aguilar CF.\n	2001	Overexpression and refolding of the hydrophobic ribosomal P0 protein from Trypanosoma cruzi: a component of the P1/P2/P0 complex.\n	22	225-233	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11437598&dopt=Abstract		2
99	9	Huxtable S, Zhou H, Wong S, Li N.\n	1998	Renaturation of 1-aminocyclopropane-1-carboxylate synthase expressed in Escherichia coli in the form of inclusion bodies into a dimeric and catalytically active enzyme.\n	12	305-314	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=9535697&dopt=Abstract		2
100	8	Cocuzzi ET, Walther SE, Rajan S, Denhardt DT.	1992	Expression and purification of mouse TIMP-1 from E. coli.	307	375-378	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=1322839&dopt=Abstract		2
101	7	Rehm BH, Qi Q, Beermann BB, Hinz HJ, Steinbuchel A.\n	2001	Matrix-assisted in vitro refolding of Pseudomonas aeruginosa class II polyhydroxyalkanoate synthase from inclusion bodies produced in recombinant Escherichia coli.\n	358	263-268	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=11485576&dopt=Abstract		2
102	9	Zhao G, Meier TI, Hoskins J, Jaskunas SR.\n	1999	Penicillin-binding protein 2a of Streptococcus pneumoniae: expression in Escherichia coli and purification and refolding of inclusion bodies into a soluble and enzymatically active enzyme.\n	16	331-339	http://www.ncbi.nlm.nih.gov:80/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=10419829&dopt=Abstract		2
